Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,AV,Team,Round,Pick
John Abraham,OLB,76,252,4.55,,,,,,2000,26,New York Jets,1,13
Shaun Alexander,RB,72,218,4.58,,,,,,2000,26,Seattle Seahawks,1,19
Darnell Alford,OT,76,334,5.56,25,23,94,8.48,4.98,2000,0,Kansas City Chiefs,6,188
Kyle Allamon,TE,74,253,4.97,29,,104,7.29,4.49,2000,0,,,
Rashard Anderson,CB,74,206,4.55,34,,123,7.18,4.15,2000,6,Carolina Panthers,1,23
Jake Arians,K,70,202,,,,,,,2000,0,,,
LaVar Arrington,OLB,75,250,4.53,,,,,,2000,31,Washington Redskins,1,2
Corey Atkins,OLB,72,237,4.72,31,21,112,7.96,4.39,2000,1,,,
Kyle Atteberry,K,72,167,,,,,,,2000,0,,,
Reggie Austin,CB,69,175,4.44,35,17,119,7.03,4.14,2000,3,Chicago Bears,4,125